ZIP,BLDGNO1,STREET1,STSUFX1,BLDGNO2,STREET2,STSUFX2,CITY,STATUS1,STATUS2,STATUS3,BLOCK,LOT,Borough,BBL
10001,244,10TH,AVE,,,,NEW YORK,MULTIPLE DWELLING A,,,722.0,2.0,1,1007220002.0
10001,246,10TH,AVE,,,,NEW YORK,MULTIPLE DWELLING A,,,722.0,3.0,1,1007220003.0
10001,299,10TH,AVE,,,,NEW YORK,MULTIPLE DWELLING A,,,699.0,31.0,1,1006990031.0
10001,301,10TH,AVE,,,,NEW YORK,MULTIPLE DWELLING A,,,699.0,32.0,1,1006990032.0
10001,303 TO 309,10TH,AVE,,,,NEW YORK,MULTIPLE DWELLING A,421-A,,699.0,33.0,1,1006990033.0
10001,315,10TH,AVE,,,,NEW YORK,MULTIPLE DWELLING A,,,700.0,30.0,1,1007000030.0
10001,317,10TH,AVE,,,,NEW YORK,MULTIPLE DWELLING A,,,700.0,31.0,1,1007000031.0
10001,440,10TH,AVE,,,,NEW YORK,MULTIPLE DWELLING A,,,732.0,73.0,1,1007320073.0
10001,442,10TH,AVE,,,,NEW YORK,MULTIPLE DWELLING A,,,732.0,72.0,1,1007320072.0
10001,312,11TH,AVE,,,,NEW YORK,MULTIPLE DWELLING A,421-A,,701.0,62.0,1,1007010062.0
10001,800 TO 802,6TH,AVE,,,,NEW YORK,MULTIPLE DWELLING A,ROOMING HOUSE,421-A,829.0,1.0,1,1008290001.0
10001,819,6TH,AVE,819,AVENUE OF THE AMERICAS,,NEW YORK,MULTIPLE DWELLING A,,,804.0,36.0,1,1008040036.0
10001,835 TO 851,6TH,AVE,,,,NEW YORK,MULTIPLE DWELLING A,421-A,,805.0,7502.0,1,1008057502.0
10001,883 TO 885,6TH,AVE,,,,NEW YORK,MULTIPLE DWELLING A,421-A,,807.0,1103.0,1,1008071103.0
10001,315,7TH,AVE,,,,NEW YORK,MULTIPLE DWELLING A,,,803.0,7501.0,1,1008037501.0
10001,322 TO 324,7TH,AVE,,,,NEW YORK,MULTIPLE DWELLING A,,,778.0,36.0,1,1007780036.0
10001,371,7TH,AVE,,,,NEW YORK,MULTIPLE DWELLING B,HOTEL,,806.0,76.0,1,1008060076.0
10001,288,8TH,AVE,,,,NEW YORK,MULTIPLE DWELLING A,,,774.0,86.0,1,1007740086.0
10001,370,8TH,AVE,,,,NEW YORK,MULTIPLE DWELLING B,HOTEL,ROOMING HOUSE,778.0,75.0,1,1007780075.0
10001,402,8TH,AVE,,,,NEW YORK,MULTIPLE DWELLING A,,,780.0,1.0,1,1007800001.0
10001,404,8TH,AVE,,,,NEW YORK,MULTIPLE DWELLING A,,,780.0,2.0,1,1007800002.0
10001,481,8TH,AVE,,,,NEW YORK,MULTIPLE DWELLING B,HOTEL,,758.0,37.0,1,1007580037.0
10001,235,9TH,AVE,,,,NEW YORK,MULTIPLE DWELLING A,,,722.0,40.0,1,1007220040.0
10001,237,9TH,AVE,,,,NEW YORK,MULTIPLE DWELLING A,,,722.0,41.0,1,1007220041.0
10001,239,9TH,AVE,,,,NEW YORK,MULTIPLE DWELLING A,,,722.0,42.0,1,1007220042.0
10001,413,9TH,AVE,,,,NEW YORK,MULTIPLE DWELLING A,,,731.0,40.0,1,1007310040.0
10001,415 TO 417,9TH,AVE,,,,NEW YORK,MULTIPLE DWELLING A,,,731.0,41.0,1,1007310041.0
10001,1186,BROADWAY,,,,,NEW YORK,MULTIPLE DWELLING B,HOTEL,,830.0,54.0,1,1008300054.0
10001,120,W 25TH,ST,,,,NEW YORK,MULTIPLE DWELLING A,,,800.0,53.0,1,1008000053.0
10001,124,W 25TH,ST,,,,NEW YORK,MULTIPLE DWELLING A,,,800.0,55.0,1,1008000055.0
